url|depth|status|title|html_path|categories|amounts_found|dates_found
https://www.luanshyacouncil.gov.zm|0|200|Luanshya Municipal Council – Luanshya Town|raw\3e6691346542e3cd2e2003b8dcef0780.html|ward|[]|[]
https://www.luanshyacouncil.gov.zm/?page_id=118|1|200|Who we are – Luanshya Municipal Council|raw\74e9f32b93ea57db08d675b654198705.html|ward|[]|[]
https://www.luanshyacouncil.gov.zm/?page_id=169|1|200|Mandate – Luanshya Municipal Council|raw\2fbbec1158e7e24d6f504c7a76b9f7ae.html|ward|[]|[]
https://www.luanshyacouncil.gov.zm/?page_id=1548|1|200|About Luanshya Town – Luanshya Municipal Council|raw\4e108f835ea43e2467b92245f7335849.html|ward|[]|[]
https://www.luanshyacouncil.gov.zm/?page_id=770|1|200|Departments – Luanshya Municipal Council|raw\c2509f4cf1ec6692cae8878a28b834d4.html|ward|[]|[]
https://www.luanshyacouncil.gov.zm/?page_id=3385|1|200|Institutional Management – Luanshya Municipal Council|raw\071b0b0ca5dcaa12f80ae42a2c54c603.html|ward|[]|[]
https://www.luanshyacouncil.gov.zm/?page_id=3399|1|200|Dept of Finance – Luanshya Municipal Council|raw\7be1ddf059fc7f62b4c948ca555a5927.html|ward|[]|[]
https://www.luanshyacouncil.gov.zm/?page_id=3387|1|200|Dept of Development Planning – Luanshya Municipal Council|raw\8497377d28070defed0dd56b951336ac.html|ward|[]|[]
https://www.luanshyacouncil.gov.zm/?page_id=3393|1|200|Dept of Human Resource and Administration – Luanshya Municipal Council|raw\8cd132b870f42d7e0f1ae3053dd4c3ed.html|uncategorised|[]|[]
https://www.luanshyacouncil.gov.zm/?page_id=3397|1|200|Dept of Public Health – Luanshya Municipal Council|raw\7cc21fa9ae151fee8a7e0adebe5a5066.html|ward|[]|[]
https://www.luanshyacouncil.gov.zm/?page_id=3395|1|200|Dept of Housing and Social Services – Luanshya Municipal Council|raw\8d8591c9c6097c4e28a5e00a04df1420.html|uncategorised|[]|[]
https://www.luanshyacouncil.gov.zm/?page_id=3389|1|200|Legal Services – Luanshya Municipal Council|raw\eb3a69b47022c6ad248189a838124964.html|ward|[]|[]
https://www.luanshyacouncil.gov.zm/?page_id=3391|1|200|Dept of Engineering Services – Luanshya Municipal Council|raw\73ee76a2a3296e125907d88bb725c233.html|ward|[]|[]
https://www.luanshyacouncil.gov.zm/?page_id=3403|1|200|Dept of Fisheries, Livestock and Veterinary Services – Luanshya Municipal Council|raw\bcd3a527950abe400c6d768a9622dec6.html|uncategorised|[]|[]
https://www.luanshyacouncil.gov.zm/?page_id=3415|1|200|Dept of Community Development – Luanshya Municipal Council|raw\350401ba22bdbccc62ab80203290bb65.html|ward|[]|[]
https://www.luanshyacouncil.gov.zm/?page_id=3401|1|200|Dept of Health Services – Luanshya Municipal Council|raw\91a4628fb79af8749299eb1ce240f56b.html|ward|[]|[]
https://www.luanshyacouncil.gov.zm/?page_id=3405|1|200|Dept of Agriculture – Luanshya Municipal Council|raw\9b026982f975f56e20359866b27aa1fc.html|ward|[]|[]
https://www.luanshyacouncil.gov.zm/?page_id=792|1|200|Services – Luanshya Municipal Council|raw\804682fdda7b152ca235dd095b931fca.html|ward|[]|[]
https://www.luanshyacouncil.gov.zm/?page_id=2072|1|200|Luanshya Municipal Council|raw\eb8e918046b45a671e78ddf543ad30dc.html|ward|[]|[]
https://www.luanshyacouncil.gov.zm/?page_id=439|1|200|SD – Luanshya Municipal Council|raw\22030c627254861891bd5513d2c8d253.html|ward|[]|[]
https://www.luanshyacouncil.gov.zm/?page_id=3694|1|200|Roan Constituency – Luanshya Municipal Council|raw\466994a181440cea3088cccb1b0ddec7.html|ward|[]|[]
https://www.luanshyacouncil.gov.zm/?page_id=187|1|200|News Updates – Luanshya Municipal Council|raw\d5320c8c8e2cb134f8bafcccf0f8bd7b.html|ward;news|[5.0]|[]
https://www.luanshyacouncil.gov.zm/?page_id=3525|1|200|CDF – Luanshya Municipal Council|raw\751639ff93ca64bf61ad7fe91956e68b.html|cdf;ward|[]|[]
https://www.luanshyacouncil.gov.zm/?page_id=3562|1|200|ZDSP – Luanshya Municipal Council|raw\4b627d7b4e2f60e4876048a03e7a345d.html|ward|[]|['28 June 2022', '24 November 2022']
https://www.luanshyacouncil.gov.zm/?page_id=959|1|200|Publications – Luanshya Municipal Council|raw\18cada6fc20e843e6f16c6040efef57e.html|ward|[]|['31st December 2022', '31st December 2023', '31st December 2024']
https://www.luanshyacouncil.gov.zm/?page_id=971|1|200|Photo Gallery – Luanshya Municipal Council|raw\b5723be578ae9f985fb3b0f1dc8cbe14.html|ward|[]|[]
https://www.luanshyacouncil.gov.zm/?page_id=1747|1|200|Application Forms – Luanshya Municipal Council|raw\46ae52888ab81a66cfb628b447b7aeb3.html|ward|[]|[]
https://www.luanshyacouncil.gov.zm/?page_id=3564|1|200|FAQs – Luanshya Municipal Council|raw\cfb3045b033c4fd3e29b0370b8d7ca3a.html|ward|[]|[]
https://www.luanshyacouncil.gov.zm/?page_id=275|1|200|Contact Us – Luanshya Municipal Council|raw\89eea7b05c34deb4dc47ace1eb498b99.html|ward|[]|[]
https://www.luanshyacouncil.gov.zm/?page_id=2302|1|200|Profile: Sombo Kawilila – Luanshya Municipal Council|raw\23baafb4f6c066447e695f09723d3e0b.html|ward|[]|[]
https://www.luanshyacouncil.gov.zm/?page_id=932|1|200|CDF Tracker – Luanshya Municipal Council|raw\cb98fde50040a2bcce1d9e3257924e12.html|cdf;ward|[]|[]
https://www.luanshyacouncil.gov.zm/?page_id=1077|1|200|Press Statements – Luanshya Municipal Council|raw\2b0186d92e37bb9dfe4344bd7e2b1655.html|ward;news|[]|[]
