source_page|pdf_url|local_path|category|status
https://www.luanshyacouncil.gov.zm/?page_id=792|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/08/Sttakeholder-Engagement-Plan.pdf|raw\pdfs\466706d44bde4d6f5c33dd377f521866.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/Notice-of-Meeting-DDCC-Dec-2024.pdf|raw\pdfs\4a2b7e2d58bca8ced54f25ca6c4d5db9.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/FINANCIAL-STATEMENTS-FOR-YEAR-ENDED-31ST-DECEMBER-2021.pdf|raw\pdfs\4fa3ffcb79ea8ed9c0da652cbcb341eb.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/07/2026-CDF-Community-Projects.pdf|raw\pdfs\69fa31c548987fcff58ca413a435684b.pdf|cdf|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/07/2026-CDF-Secondary-School-Bursary.pdf|raw\pdfs\80460333bb3e7f85f2410e17e26b9564.pdf|cdf|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/Notice-of-Meeting-and-Agenda-for-stakeholders.pdf|raw\pdfs\a1eb29ea6492ff3166208cb8b46cdf99.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=3562|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/ZDSP-About.pdf|raw\pdfs\07fe50dad3fbf7705183a30753f5f8cd.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=1536|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/08/LMC-2024-Community-Projects.pdf|raw\pdfs\fee74ed052a3aa35a09a5aa95a52d883.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/08/CDF-ADVERTS-EXTENSION.pdf|raw\pdfs\1096d691d9bdbb1526c2ae7acf40d74e.pdf|cdf|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/2025-Public-Notice-Stakeholder-Engagement.pdf|raw\pdfs\8cfd7ffa886b168fa4f884e082fc9de5.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2024/12/APPROVED-LIST-2025-SECONDARY-SCHOOL-BURSURIES-FOR-ROAN-CONSTITUENCY.pdf|raw\pdfs\72376d388d752975630aa8f1d8a062aa.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/FINANCIAL-STATEMENTS-FOR-YEAR-ENDED-31ST-DECEMBER-2020.pdf|raw\pdfs\ea5ff3f23333510c8e75554bbfd5dd22.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/01/Approved-list-for-Skills-Development-and.pdf|raw\pdfs\73daffa3ba25fb09754e14b83f06e3ef.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/02/ECZ-JOB-ADVERT.pdf|raw\pdfs\3f3fb9cc0ef47b274caab26eecb5d2ec.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/2024-Budget-Stakeholders-Minutes-17122025.pdf|raw\pdfs\8a71c176477d08a53d0f95ea73a16f7e.pdf|budget;resolution|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2024/09/CDF-GUIDELINES-2.pdf|raw\pdfs\aa2cb72e8526f6a03055d49b4c38eb12.pdf|cdf|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/01/Advert-for-Secondary-Boarding-Bursaries.pdf|raw\pdfs\27c3de26143400bb5a952b3b5e3cb322.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=3525|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/08/SECONDARY-BOARDING-SCHOOL-BURSARY-APPLICATION-FORM.pdf|raw\pdfs\29fcbbc9324c72409185a436ff8a6570.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|https://www.luanshyacouncil.gov.zm/wp-content/uploads/2023/11/LUANSHYA-DISTRICT-INTEGRATED-DEVELOPMENT-PLAN-2023-2033.pdf|raw\pdfs\1529cefcc11b8cc82f2e1d0e69a717d4.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=770|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/03/The-Urban-and-Regional-Planning-Act-No-3-of-2015.pdf|raw\pdfs\edcb4eb76c7aaaf69e9e474b6454e74b.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2024/08/National-Decentralisation-Policy-2023.pdf|raw\pdfs\12272a733e838319523425417b29b979.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2023/05/1647006602-1.pdf|raw\pdfs\df20f5c63da6ab5d3dfc116b6fcb45cd.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/LMC-Bi-Annual-Performance-Report-final.pdf|raw\pdfs\e8c56f573a3c076cf5ef8a85a34a69b8.pdf|resolution|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/11/MINUTES_OF_THE_2024_STAKEHOLDER_ENGAGEMENT_ON_CDF_REVIEW1.pdf|raw\pdfs\7641ce3ad9e3d71fb2c6c2e15ec0d99b.pdf|cdf;resolution|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/08/2024-APPROVED-COMMUNITY-PROJECTS.pdf|raw\pdfs\ef147306dfc24f12d61440af5eea6381.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/Annual-Detailed-Budget-2022.pdf|raw\pdfs\c7be9215000bc95aeb499f71ff396200.pdf|budget|
https://www.luanshyacouncil.gov.zm/?page_id=1747|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2023/12/APPLICATION-FOR-CERTIFICATE-OF-COMPLIANCE.pdf|raw\pdfs\b1693a9eee5624f4949b2124ee0a1ac3.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/04/LUANSHYA-BUDGET-2025.pdf|raw\pdfs\2fafaa2020a530f2cf32e51db20bfe67.pdf|budget|
https://www.luanshyacouncil.gov.zm|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2023/10/Press-Statement-CDF-1.pdf|raw\pdfs\2a449c15023aaa95a8a49dcdd4a4aeb0.pdf|cdf;news|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/05/CAMPAIGN-TIME-TABLE-LUANSHYA-2026.pdf|raw\pdfs\341f0dd7fdf9ff2972b4e7db365d7370.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/11/2024-Audit-Opinion.pdf|raw\pdfs\57fff12a74af7a11043bd47ba9af88ef.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2024/12/Auditors-Report-2023.pdf|raw\pdfs\6f947b94cc65b0558d2ee7eaf4c88104.pdf|resolution|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/CONVEYANCE-NOTIFICATION-OF-MINISTERIAL-APPROVAL-OR-REFUSAL-FOR-COMMUNITY-PROJECTS-UNDER-2025-CDF-FOR-ROAN-CONSTITUENCY.pdf|raw\pdfs\9f49c1465304721a335efa371d8e2a94.pdf|cdf|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/2025-Proposed-Community-Projects.pdf|raw\pdfs\48954589495019296098cad90fb31773.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=3525|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2023/11/CDF-Community-Projects-Application-Form.pdf|raw\pdfs\c563d8e21dc914a2847ba5ef0656cb1d.pdf|cdf|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/03/NA_Z_Standard_Operating_Procedures_HARID__FINAL1-2-003_Finalized_CM.pdf|raw\pdfs\a7d0971424baa78caf7bec03a1ceaf6f.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/Annual-Detailed-Budget-2023.pdf|raw\pdfs\1f2574389e5860c5291643b049cdf82e.pdf|budget|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2024/09/AG-Report-LMC.pdf|raw\pdfs\59d921767c665d9e07fb1b99d615df29.pdf|resolution|
https://www.luanshyacouncil.gov.zm/?page_id=3525|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/SKILLS-DEVELOPMENT-BURSARY-APPLICATION-FORM.pdf|raw\pdfs\3b40e2e47d42c7cebe60e6f22ea5a744.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2024/12/2025-SKILLS-LUANSHYA-CONSTITUENCY.pdf|raw\pdfs\9e59ce83266eb41d65da2a88352d2512.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|https://www.luanshyacouncil.gov.zm/wp-content/uploads/2023/11/The-Local-Government-Act-No.-2-of-2019.pdf|raw\pdfs\13f9db64e7cb57522e712415b1f6a94d.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=3525|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/Youth-and-Women-Community-Projects-Application-Forms.pdf|raw\pdfs\3b413b853bc4e9c03a00449bfcfdc631.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/01/Approved-List-for-Secondary-Boarding-School-and-Skills-Development-Bursaries-for-2026-under-Roan-Constituetency-CDF.pdf|raw\pdfs\6dbdcaacde6920e57a3eb1607e62197f.pdf|cdf|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/09/2026-Business-Stakeholder-Meeting.pdf|raw\pdfs\5f0f3b8a7dfb50afd445e098232d352c.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=3525|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/Luanshya-District-Community-Projects-2023.pdf|raw\pdfs\ea06621f8714bdad5120d1c0c4291b59.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/03/SOP-CULTURAL-MATTERS.-PRINT-READY.pdf|raw\pdfs\25cc9493b02122a0e23efebd09c5e91a.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/2026-APPROVED-LIST-OF-EMPOWERMENT-GRANTS-ROAN-CONSTITUENCY.-.pdf|raw\pdfs\fe689d4d042817a3c10e3c1aa3e0beee.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=792|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/08/Luanshya-Bi-Annual-Performance-Report-2025.pdf|raw\pdfs\eeba9ce911a549be79ec11a8f8ade668.pdf|resolution|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/02/Property-Owners-DataBase-Update.pdf|raw\pdfs\aac0b334968205f0dd4064ecedb42077.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=1747|https://www.luanshyacouncil.gov.zm/wp-content/uploads/2023/11/LOAN-EMPOWERMENT-APPLICATION-FORM-FINAL-202-12-2022.pdf|raw\pdfs\c0e1d476f288ec4d2b4422c393a71da2.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2024/12/2025-SECONDARY-BURSARIES-LUANSHYA-CONSTITUENCY.pdf|raw\pdfs\d380e9f9fdc03608454b6cf122ba69c4.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=3525|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/08/2025-APPROVED-COMMUNITY-PROJECTS-1.pdf|raw\pdfs\eade6c7e9bea961440405524d87e89cc.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/Annual-Detailed-Budget-2024.pdf|raw\pdfs\f667f378243d61816b05ad7fdb3b77dd.pdf|budget|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2024/09/ACT-No.-1-OF-2024-THE-CONSTITUENCY-DEVELOPMENT-FUND.pdf|raw\pdfs\a9335bae5fe4f16a1ff13a9a091308ff.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/05/LUANSHYA-CANDIDATES-FOR-MAYORAL-NATIONAL-ASSEMBLY-COUNCILLORS.pdf|raw\pdfs\7be1c1998d541a9e4907683b9282a676.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=1747|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2023/12/HEALTH-PERMIT-FORM_BOOTH.pdf|raw\pdfs\b2017cb1fc81c017fad8f061f04a0eb3.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=792|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/04/LUANSHYA-BUDGET-2025.pdf|raw\pdfs\2fafaa2020a530f2cf32e51db20bfe67.pdf|budget|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2024/12/APPROVED-LIST-2025-SKILLS-BURSURIES-FOR-ROAN-CONSTITUENCY.pdf|raw\pdfs\73507122405e854393523acc9406211e.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/2024-Business-Stakeholder-Engagement-Plan.pdf|raw\pdfs\b5254fc890d568cd06f209667460cf15.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/01/2025-Luanshya-Constituency-Loans-.pdf|raw\pdfs\0684db00426b7c59b5739064f5a8f27d.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/08/LMC-OBB_Budget-2026.pdf|raw\pdfs\5fda3a31a3ae263affd828e8e7c622ff.pdf|budget|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/05/CAMPAIGN-TIME-TABLE-2026.pdf|raw\pdfs\3fa3b40ab1243d4ff74422a5452946c4.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/04/LUANSHYA-MUNICIPAL-COUNCIL-TODAY-002-ok.pdf|raw\pdfs\a0a0608d3c4d39128808ec5cd44bc56e.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/07/2026-CDF-Empowerment-Grants.pdf|raw\pdfs\284a5f1b0d8c61a345a624204ab582d5.pdf|cdf|
https://www.luanshyacouncil.gov.zm|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2023/10/FINAL-CDF-GUIDELINES-FEBRUARY-2022-1.pdf|raw\pdfs\7bf97355c0fb1ff636a96ecec3f42186.pdf|cdf|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/FINANCIAL-STATEMENTS-FOR-YEAR-ENDED-31ST-DECEMBER-2019.pdf|raw\pdfs\3120389ef4daa8d1fc0c3b6e32cfc5dd.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/09/2026-Budget-Stakeholders-Meeting.pdf|raw\pdfs\c3bf084c2cd36a11b03685a492d5583d.pdf|budget|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/03/2026-Secondary-Boarding-Luanshya-Constituency-Second-Batch.pdf|raw\pdfs\0edfa68ab26da5d6737364c371abbbc6.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=3525|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/08/loan-Agreement.pdf|raw\pdfs\e0a48c6c752b4277d8cfdb1a26c2df7a.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/2026-Approved-list-for-Secondary-boarding-school-and-skills-development.pdf|raw\pdfs\cfa4c4f8730e9cd4dcfdb4954584fac2.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/02/SECOND-BATCH-APPROVED-2026-EMPOWERMENT-GRANTS-UNDER-LUANSHYA.pdf|raw\pdfs\5ea433832e778131ec0440c8e51bc878.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/05/Nomination-Schedule.pdf|raw\pdfs\87d557344119aacd670571825877d03d.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|https://www.luanshyacouncil.gov.zm/wp-content/uploads/2023/11/The-Urban-and-Regional-Planning-Act-2015.pdf|raw\pdfs\7df531b0cc5e9da1d9d8924d78602078.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/PUBLIC-NOTICE-2026-ROLLING-OVER-STUDENTS-FOR-SKILLS-DEVELOPMENT-AND-SECONDARY-BOARDING-ROAN-CONSTITUENCY.pdf|raw\pdfs\be0467ff3d6eb664bfcd39bcd4ee2a2f.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=792|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/08/Approved-Community-Stakeholder-Engagement-Meeting-on-CDF-Review.pdf|raw\pdfs\d2c12868d9a0bafd0a77af21cdc3a094.pdf|cdf|
https://www.luanshyacouncil.gov.zm/?page_id=1747|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2023/12/Retail-Business-Application-Forms.pdf|raw\pdfs\4eacaeac1fee960b16c8d27caefcbf74.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/LUANSHYA-DISTRICT-CONSOLIDATED-COMMUNITY-PROJECTS-UNDER-CDF-FROM-2022-TO-2025.pdf|raw\pdfs\30aa3bbbacb7b58c8463a1621d09fee2.pdf|cdf|
https://www.luanshyacouncil.gov.zm/?page_id=792|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/08/2024-APPROVED-COMMUNITY-PROJECTS.pdf|raw\pdfs\ef147306dfc24f12d61440af5eea6381.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=1747|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2023/12/Fire-Application-Forms.pdf|raw\pdfs\dc9ae6558d27965f4183467ada3a4032.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/03/SOP_Community_Sport_Final_Signed.pdf|raw\pdfs\4983cec1c866973365ccbc5038275eed.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=1747|https://www.luanshyacouncil.gov.zm/wp-content/uploads/2023/11/CDF-Grant-Application-Form.pdf|raw\pdfs\4f316cf95ff7633ec8fc6d04c644e9a3.pdf|cdf|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2026/02/propert-rates-advert-2026.pdf|raw\pdfs\78e737ec1c38a48a6366eeb86e02bc82.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/The-Constituency-Development-Fund-Act-No.-11-of-2018-1.pdf|raw\pdfs\2c20bcd34ac7ac2cb8cf87a5419dea37.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=1747|https://www.luanshyacouncil.gov.zm/wp-content/uploads/2023/11/CDF-Community-Projects-Application-Form.pdf|raw\pdfs\c313084e62c1415071e37f114782ea9b.pdf|cdf|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/2026-APPROVED-LIST-OF-EMPOWERMENT-GRANTS-LUANSHYA-CONSTITUENCY.pdf|raw\pdfs\6722ecf61a96049d9b6bc897bebdede0.pdf|uncategorised|
https://www.luanshyacouncil.gov.zm/?page_id=959|http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/Annual-Detailed-Budget-2019.pdf|raw\pdfs\b7a7e2a76c7df0d9fc3d14a7ee8129fb.pdf|budget|
